Temperature_C,RelativeHumidity_%,CoatingWeight_gm2,WVTR_gm2_day
31.15952451670612,64.78794804407252,28.122796443416807,365619.00731490116
37.50854887492369,48.59250450356064,50.73123236652222,268401.7733167833
54.80716651933453,75.6227733082754,34.9524769207499,2209159.205197387
54.44547942925573,45.46506788999301,32.916913941444136,1226496.80737744
43.429555220137345,83.7651961730647,27.461120372101973,1400056.2177516718
33.848754476612285,72.64256496152613,55.556594009833425,274248.7099027639
37.64255154862174,90.0739030933145,25.42137656461796,991240.5916413427
35.27812084835561,74.32259718283535,23.074989517727065,768327.4091295057
38.43901992090544,44.073850383770036,45.99206082878828,274138.0840455552
28.699661558240223,44.35109384451137,36.05951422438309,172482.59692091233
21.144817684425192,74.52816292600578,29.08483421692094,178166.873350213
35.280159807313574,61.973383795535646,55.402873391276216,271749.88705232594
50.04689422305212,65.41409735807481,45.65685392639842,1081591.1528167133
27.66366382539239,88.10806441592779,22.22710844341922,438123.66504691326
53.8874399742637,67.36416421313372,16.13320181392169,4348773.325178355
58.39477506229832,92.1741958631448,19.742100598954362,5706277.521307544
41.34324246890392,53.807191966367725,16.72735806704356,1283908.6126548678
52.767872756520504,40.839268708197864,56.94473863040087,554091.289111377
32.267757034361814,55.0649489071354,59.21410240572638,182559.6449516158
51.75107131524604,86.1242793258447,38.10464081451798,1825242.1210580408
29.923964272450853,49.732967070016535,38.39039819805172,189637.93961336036
53.77346949273897,73.65990081242651,35.64420514313538,1756461.1550763785
54.56827247708294,90.84358954269754,48.50590517608834,1634385.9068220924
36.18793818058106,77.6107889993863,58.542616084174796,340945.53656577057
32.62574873080747,92.02716980780667,59.899994330999384,303259.9335356033
50.57294815272474,61.53662886359358,10.341370327442652,4236819.771119671
21.82949030313637,48.459021351877766,15.088671305097964,245528.84303174005
22.876932525594636,62.665751049797755,19.442131884733108,270476.15538546577
51.00024497608906,66.7784835262528,51.56486222648469,1002376.5290434305
44.25801200644612,93.35123169424747,42.04267177946916,1055834.7859830116
21.87171428286068,75.87221903149268,33.87768390461259,165929.18994449865
59.6716834579948,67.12503805091785,48.816716763404635,1809646.6227785998
41.23159009748048,47.56303982064904,52.27691851314408,322627.27037187706
46.75287640425165,43.640668671090175,16.76247827356501,1277782.5617190418
55.80963684924122,49.74027080076952,12.457153782547305,3741289.2034343206
53.38066821513322,79.48854622487288,49.388543269418335,1456367.0255315541
59.11415556189513,84.82079637721156,38.6580157579717,2917143.669540295
51.2237705289386,62.18590137884811,44.96926758502705,982291.6976605323
55.231893828893504,92.25347771439107,15.21150845609213,6541482.166960614
47.62000254355287,73.98447190118289,39.76115395177945,1059947.4355529696
22.797825797122147,91.48468422534219,13.261469935154404,614691.9919137725
53.62112841240305,71.93397718026634,14.214737469403513,4969261.749862767
37.1796560224731,54.58841981882605,10.006697677887658,1347740.2759286305
42.77394185465735,91.82540836447608,18.051184638829678,2138901.9896238344
55.821449653921434,74.50769909566148,33.668604376813036,2276476.3457488148
49.21294289019009,79.00611639472807,58.54482043238561,809689.8529082595
22.50674023657618,57.428462571786014,23.836119020498828,196647.8429647357
27.334137220094867,63.08414678092704,29.776651739330088,247199.41018122563
53.71854257634065,67.11407270516395,39.564091818088315,1480703.2373995737
55.16223515505237,67.28133103151913,35.513880323818235,1897063.7630980276
31.687170471385055,92.27594823355625,23.027323346844476,716334.2627971777
40.121326388944766,89.88624994341811,46.11892278539159,641234.1456072432
